entity,n-revs
fs/smb/server/smb2pdu.c,20
include/uapi/linux/iommufd.h,19
include/linux/tracepoint.h,19
drivers/hid/bpf/hid_bpf_dispatch.c,19
drivers/of/base.c,18
drivers/hid/hid-core.c,18
kernel/signal.c,18
tools/testing/vsock/msg_zerocopy_common.c,18
lib/string.c,18
drivers/platform/chrome/Makefile,18
tools/testing/vsock/vsock_test.c,18
arch/arm64/boot/dts/mediatek/mt8173-elm.dtsi,18
kernel/time/ntp.c,18
tools/testing/vsock/control.c,18
fs/smb/server/smb_common.c,18
tools/testing/vsock/msg_zerocopy_common.h,18
tools/testing/selftests/iommu/iommufd_fail_nth.c,18
arch/loongarch/kvm/exit.c,18
net/netfilter/nft_set_hash.c,18
arch/arm64/Kconfig,18
drivers/irqchip/irq-ts4800.c,18
drivers/platform/chrome/Kconfig,18
drivers/net/ethernet/microsoft/mana/mana_en.c,18
Makefile,18
drivers/irqchip/irq-mvebu-pic.c,18
drivers/irqchip/irq-keystone.c,18
net/core/link_watch.c,18
include/linux/string.h,18
drivers/iommu/iommufd/fault.c,18
drivers/irqchip/irq-imx-intmux.c,18
drivers/watchdog/rti_wdt.c,18
tools/testing/vsock/util.h,18
drivers/irqchip/irq-ls-scfg-msi.c,18
lib/vsprintf.c,18
drivers/i2c/i2c-core-smbus.c,18
tools/testing/vsock/vsock_uring_test.c,18
net/ipv6/ip6mr.c,18
tools/testing/vsock/util.c,18
arch/arm64/boot/dts/mediatek/mt8173-elm-hana.dtsi,18
MAINTAINERS,18
Documentation/arch/arm64/silicon-errata.rst,18
arch/x86/kernel/cpu/amd.c,18
drivers/irqchip/irq-pruss-intc.c,18
net/netfilter/ipset/ip_set_core.c,18
drivers/irqchip/irq-madera.c,18
drivers/irqchip/irq-gic-v3-its.c,18
include/linux/hid_bpf.h,18
drivers/irqchip/irq-renesas-irqc.c,18
drivers/irqchip/irq-imgpdc.c,18
drivers/irqchip/irq-renesas-intc-irqpin.c,18
tools/testing/vsock/vsock_test_zerocopy.c,18
kernel/auditsc.c,18
net/ipv4/ipmr.c,18
kernel/trace/tracing_map.c,18
kernel/trace/trace_preemptirq.c,18
tools/testing/vsock/vsock_perf.c,18
drivers/irqchip/irq-renesas-rza1.c,18
tools/testing/selftests/hid/progs/hid_bpf_helpers.h,18
include/asm-generic/delay.h,18
drivers/irqchip/irq-imx-irqsteer.c,18
tools/perf/pmu-events/arch/powerpc/power9/memory.json,17
drivers/rtc/Makefile,17
drivers/thermal/tegra/tegra210-soctherm.c,17
drivers/staging/media/atomisp/pci/isp/kernels/anr/anr_1.0/ia_css_anr_types.h,17
fs/afs/cmservice.c,17
arch/arm64/boot/dts/qcom/sdm845-shift-axolotl.dts,17
drivers/gpu/drm/i915/display/intel_display_reg_defs.h,17
tools/testing/selftests/bpf/prog_tests/test_profiler.c,17
drivers/clk/at91/at91sam9rl.c,17
arch/arm64/boot/dts/marvell/ac5-98dx25xx.dtsi,17
drivers/net/ethernet/stmicro/stmmac/stmmac_platform.h,17
tools/perf/scripts/python/event_analyzing_sample.py,17
drivers/net/ethernet/synopsys/dwc-xlgmac-hw.c,17
"include/dt-bindings/clock/qcom,mmcc-apq8084.h",17
arch/arm/include/asm/mach/map.h,17
drivers/gpu/drm/amd/amdgpu/vid.h,17
drivers/rtc/rtc-max8925.c,17
tools/testing/selftests/bpf/prog_tests/ringbuf.c,17
arch/mips/math-emu/ieee754.c,17
include/drm/drm_suballoc.h,17
"Documentation/devicetree/bindings/arm/bcm/brcm,bcm23550.yaml",17
arch/arm/boot/dts/nxp/imx/imx53-mba53.dts,17
include/dt-bindings/power/mt8167-power.h,17
arch/parisc/lib/memset.c,17
drivers/input/misc/pmic8xxx-pwrkey.c,17
drivers/gpu/drm/xe/tests/xe_mocs.c,17
drivers/net/wireless/realtek/rtw89/rtw8851b.h,17
drivers/mfd/wm8994-irq.c,17
drivers/staging/media/deprecated/atmel/Makefile,17
tools/perf/pmu-events/arch/x86/haswellx/uncore-power.json,17
drivers/phy/tegra/xusb.h,17
security/integrity/Kconfig,17
fs/xfs/xfs_buf.h,17
tools/perf/util/parse-sublevel-options.h,17
drivers/acpi/acpica/utdebug.c,17
drivers/gpu/drm/renesas/rz-du/rzg2l_du_drv.c,17
drivers/media/usb/hackrf/Kconfig,17
drivers/gpu/drm/imagination/pvr_queue.c,17
tools/testing/selftests/powerpc/benchmarks/settings,17
Documentation/gpu/index.rst,17
include/net/9p/9p.h,17
Documentation/devicetree/bindings/input/touchscreen/hideep.txt,17
drivers/nfc/nxp-nci/Makefile,17
drivers/mmc/host/cb710-mmc.c,17
tools/testing/selftests/livepatch/test_modules/test_klp_callbacks_busy.c,17
drivers/rtc/rtc-mt2712.c,17
fs/proc/fd.c,17
Documentation/devicetree/bindings/arm/cpus.yaml,17
arch/arm/boot/dts/renesas/r7s72100-genmai.dts,17
Documentation/ABI/testing/sysfs-bus-iio-ad9739a,17
arch/alpha/kernel/core_mcpcia.c,17
drivers/hwtracing/coresight/ultrasoc-smb.c,17
Documentation/tools/index.rst,17
drivers/s390/char/con3215.c,17
fs/xfs/xfs_refcount_item.c,17
drivers/mfd/lm3533-ctrlbank.c,17
Documentation/hwmon/asus_wmi_sensors.rst,17
arch/loongarch/mm/mmap.c,17
mm/page_alloc.c,17
drivers/firmware/microchip/mpfs-auto-update.c,17
